Group,Filename,Full_Path,Ch0_Intensity,Ch0_LaplacianVar,Ch1_Intensity,Ch1_LaplacianVar,Ch2_Intensity,Ch2_LaplacianVar,Num_Channels
SNCA x3,003002_r06c07f15_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f15_Composite_RGB.tif,5130.802257373114,13435496.48403735,2608.6673122427983,2188405.5487290784,2557.360004286694,220915.54415626652,3
SNCA x3,003002_r06c08f01_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f01_Composite_RGB.tif,5763.080017146776,21388486.33984176,2582.1328026406036,2526872.556708008,2800.7101123113853,222348.62486992113,3
SNCA x3,003002_r06c08f02_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f02_Composite_RGB.tif,6984.341551783265,30897114.937553167,3436.490408950617,4395414.061046281,3505.219311556927,290469.5034443844,3
SNCA x3,003002_r06c08f03_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f03_Composite_RGB.tif,7325.010693587105,36351766.211412944,4089.517542009602,6083395.746087982,3226.911478909465,323157.0013006464,3
SNCA x3,003002_r06c08f04_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f04_Composite_RGB.tif,6028.176434327846,32332424.772821736,4499.067818072703,5551658.753064789,2444.704583333333,277069.62229163304,3
SNCA x3,003002_r06c08f05_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f05_Composite_RGB.tif,5858.749502743484,16555892.290745456,3002.9961085390946,2697473.6138742934,2992.76841563786,189086.6660029634,3
SNCA x3,003002_r06c08f06_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f06_Composite_RGB.tif,4778.637994684499,14893063.924257834,1835.304350994513,1757433.8498877366,1942.8560528120713,95848.46952657706,3
SNCA x3,003002_r06c08f07_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f07_Composite_RGB.tif,8625.655551268861,44482288.12963725,3913.5607398834018,5711721.183559478,3368.6803780864198,257684.95570764167,3
SNCA x3,003002_r06c08f09_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f09_Composite_RGB.tif,1831.9660390946501,1037759.6263105916,669.4713820301783,96485.69492419605,740.6879595336077,6298.65782492421,3
SNCA x3,003002_r06c08f10_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f10_Composite_RGB.tif,5674.908210733882,19552663.25210104,3035.843497085048,2759769.489641746,2532.835596707819,204958.83919264682,3
SNCA x3,003002_r06c08f11_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f11_Composite_RGB.tif,7224.41473079561,21663790.779406466,2942.6892866941016,3100935.7916653706,2915.0562620027436,204522.13885378782,3
SNCA x3,003002_r06c08f12_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f12_Composite_RGB.tif,2195.570357510288,1526482.3198897887,701.3934756515775,91274.2286553219,837.0564617626886,10039.07098953115,3
SNCA x3,003002_r06c08f13_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f13_Composite_RGB.tif,7028.017024176955,19582365.954884462,3485.3664334705077,4040064.996934425,3535.927141632373,318321.5592088797,3
SNCA x3,003002_r06c08f15_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c08f15_Composite_RGB.tif,3480.612698902606,5108065.121516345,1165.970548696845,426413.69037659693,1481.934074074074,51379.584302613424,3
SNCA x3,003002_r06c09f01_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f01_Composite_RGB.tif,6135.474063786009,23888078.53361604,3411.550703017833,3874736.5154648693,2651.2274682784637,242191.12072548986,3
SNCA x3,003002_r06c09f02_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f02_Composite_RGB.tif,6258.734687071331,25686209.39187412,3178.6594864540466,4342257.123517324,2549.4437319958847,202829.92208291666,3
SNCA x3,003002_r06c09f03_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f03_Composite_RGB.tif,7918.325127743484,38395985.49627524,3436.9682227366256,5023713.682715444,3364.582584019204,253866.06108512275,3
SNCA x3,003002_r06c09f04_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f04_Composite_RGB.tif,6000.118034979424,30226866.2168409,3190.11614797668,5097220.961817995,2277.407413408779,189011.34091026365,3
SNCA x3,003002_r06c09f05_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f05_Composite_RGB.tif,7179.345834190673,24054806.22970174,3755.727009602195,4728128.955150314,3056.6805469821675,274949.2860176133,3
SNCA x3,003002_r06c09f06_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f06_Composite_RGB.tif,4231.225474965707,19595639.20232784,2726.558864883402,4206845.907197428,1585.4187997256515,135260.45896524488,3
SNCA x3,003002_r06c09f07_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f07_Composite_RGB.tif,7195.739310699589,37994232.42767652,4100.621196844993,6637690.528027958,3020.9002409122086,255369.72705266776,3
SNCA x3,003002_r06c09f08_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f08_Composite_RGB.tif,4739.869129801097,15686783.326381324,1854.692141632373,1616920.599046349,1984.6116632373114,102385.23388371487,3
SNCA x3,003002_r06c09f09_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f09_Composite_RGB.tif,6302.938785150892,16592441.084690373,2722.4391898148147,2342515.8421940827,2804.4734327846363,194560.0874251803,3
SNCA x3,003002_r06c09f10_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f10_Composite_RGB.tif,5480.883394204389,14099646.853931507,2243.6766117969823,1655208.7293314752,2855.2136951303155,162132.17569525828,3
SNCA x3,003002_r06c09f11_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f11_Composite_RGB.tif,7390.783540809328,23727050.697004285,3221.9006953017833,4250272.366380129,3333.7807193072704,308635.5160522847,3
SNCA x3,003002_r06c09f12_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f12_Composite_RGB.tif,2759.2513014403294,3159790.68832149,858.585329218107,292404.37004989275,1252.919766803841,28790.635851826424,3
SNCA x3,003002_r06c09f13_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f13_Composite_RGB.tif,5457.5856687242795,16156927.437364845,3202.036311728395,3606849.3698233743,3021.3689823388204,297564.09496336355,3
